Instruction_Count,Basic_Block_Count,Cyclomatic_Complexity,Variable_To_Instruction_Ratio,Constant_Assignment_Count,Constant_Operand_Ratio,Defined_But_Unused_Var_Count,Unreachable_Block_Count,Redundant_Expression_Count,Expression_Complexity_Score,Induction_Variable_Count,Expensive_Op_In_Loop_Count,Loop_Depth,Invariant_Expression_Count,Optimization
97,8,4,0.804123711,5,0.138686131,0,1,2,58,1,4,1,9,5
14,5,3,0.5,3,0.416666667,0,0,0,5,1,1,1,1,2
14,3,2,0.714285714,3,0.375,0,0,0,9,1,1,1,2,4
15,3,2,0.733333333,3,0.277777778,0,0,1,12,1,1,1,3,3
21,3,2,0.80952381,4,0.206896552,0,0,2,15,1,1,1,4,3
153,8,4,0.718954248,8,0.19266055,3,1,29,87,1,8,1,24,3
125,6,3,0.864,6,0.138888889,0,0,33,113,2,1,2,50,4
110,9,4,0.727272727,13,0.296052632,0,0,4,94,1,23,1,5,4
115,19,8,0.565217391,38,0.338028169,6,8,0,17,1,4,1,2,2
104,12,5,0.721153846,5,0.063829787,6,3,14,40,1,3,1,4,3
63,6,3,0.714285714,12,0.357142857,7,1,0,40,0,0,0,0,1
97,8,4,0.804123711,5,0.138686131,0,1,2,58,1,4,1,9,5
50,13,5,0.5,21,0.464285714,8,4,0,4,0,0,0,0,2
17,3,2,0.764705882,4,0.285714286,0,0,0,13,1,1,1,3,5
65,7,3,0.553846154,14,0.445783133,15,1,0,31,1,2,1,1,2
96,5,3,0.770833333,22,0.263157895,0,1,6,60,1,2,1,15,5
16,3,2,0.75,1,0.428571429,0,0,0,7,1,1,1,1,1
142,8,4,0.767605634,8,0.188118812,0,1,18,88,2,6,2,30,3
19,6,3,0.631578947,2,0.333333333,0,0,0,15,1,2,1,4,4
26,6,3,0.730769231,1,0.394736842,0,0,0,15,1,2,1,3,1
23,9,4,0.47826087,6,0.428571429,4,2,0,5,1,2,1,2,2
62,3,2,0.790322581,14,0.301204819,12,1,0,43,0,0,0,0,1
16,3,2,0.75,4,0.315789474,0,0,0,12,1,1,1,2,5
128,8,4,0.7265625,24,0.222857143,6,1,34,128,1,11,1,29,3
85,10,4,0.870588235,15,0.350877193,10,0,0,61,3,13,2,3,4
24,8,4,0.458333333,5,0.391304348,1,1,0,10,1,2,1,2,2
19,5,3,0.684210526,1,0.454545455,0,0,0,12,1,1,1,2,1
12,3,2,0.666666667,2,0.384615385,0,0,0,8,1,1,1,2,4
19,6,3,0.578947368,4,0.368421053,1,0,0,9,1,2,1,2,2
14,3,2,0.714285714,3,0.375,0,0,0,9,1,1,1,2,4
118,6,3,0.796610169,5,0.075581395,1,0,33,109,1,7,1,30,3
25,9,4,0.48,6,0.416666667,2,4,0,5,1,2,1,2,2
16,3,2,0.75,3,0.25,0,0,0,11,1,1,1,3,5
24,9,4,0.5,3,0.333333333,0,0,0,11,2,2,2,3,2
17,3,2,0.764705882,4,0.285714286,0,0,1,13,1,1,1,3,3
14,3,2,0.714285714,3,0.3125,0,0,0,9,1,1,1,2,5
27,6,3,0.740740741,4,0.2,0,0,0,23,1,2,1,6,5
52,18,7,0.365384615,29,0.679245283,5,5,0,5,1,2,1,3,2
20,6,3,0.65,2,0.346153846,0,0,0,15,1,3,1,4,4
24,6,3,0.708333333,3,0.2,0,0,2,17,1,2,1,6,3
97,8,4,0.804123711,5,0.138686131,1,1,1,90,1,4,1,9,5
108,12,5,0.787037037,6,0.25170068,0,0,19,90,4,19,1,14,4
22,6,3,0.681818182,1,0.384615385,0,0,0,15,1,2,1,2,1
16,5,3,0.5625,3,0.4,1,0,0,6,1,1,1,1,2
22,6,3,0.681818182,3,0.230769231,0,0,0,15,1,2,1,4,5
27,6,3,0.740740741,1,0.416666667,0,0,0,17,1,2,1,2,1
88,14,6,0.647727273,35,0.45631068,6,9,0,17,1,6,1,5,2
12,3,2,0.666666667,2,0.384615385,0,0,0,8,1,1,1,2,4
123,6,3,0.788617886,15,0.120879121,0,0,23,85,1,6,1,26,5
138,3,2,0.710144928,6,0.497560976,46,0,1,49,1,3,1,1,1
108,12,5,0.787037037,6,0.25170068,0,0,19,90,4,19,1,14,4
101,18,7,0.643564356,21,0.484615385,7,4,1,32,2,4,1,2,1
15,3,2,0.733333333,3,0.277777778,0,0,1,10,1,1,1,3,3
21,3,2,0.80952381,4,0.206896552,0,0,2,25,1,1,1,4,3
29,6,3,0.75862069,4,0.179487179,0,0,4,33,1,2,1,8,3
11,3,2,0.636363636,1,0.333333333,0,0,0,8,1,2,1,1,4
16,3,2,0.75,1,0.428571429,0,0,0,8,1,1,1,1,1
101,18,7,0.643564356,21,0.484615385,7,4,1,32,2,4,1,2,1
19,3,2,0.789473684,4,0.24,0,0,0,15,1,1,1,3,5
